Sim	QM	forNTS	indicator	confidence
49	1	6855.55595320121	-1	1
50	2	6833.043419141632	-1	1
51	3	6833.043419141632	-1	1
52	4	6832.282716203414	-1	1
53	5	6847.211846097586	-1	1
54	6	6848.220154583853	-1	1
55	7	6807.4890787556305	-1	2
56	8	6770.534360985043	-1	2
57	9	6742.166905762947	-1	2
58	10	6721.253898293302	-1	2
59	11	6710.8824823359455	-1	2
60	12	6740.341836690206	-1	2
61	13	6767.49700929619	-1	2
62	14	6782.9279786268	-1	2
63	15	6762.979027790389	-1	2
64	16	6789.090656570967	-1	2
65	17	6818.647064735868	-1	1
66	18	6816.611759406824	-1	1
67	19	6823.586833584443	-1	1
68	20	6816.269931269513	-1	1
69	21	6833.353901505688	-1	1
70	22	6844.993382041446	-1	1
71	23	6846.59132239358	-1	1
72	24	6861.292375684652	0	1
73	25	6872.915045026626	0	1
74	26	6883.369490617761	0	1
75	27	6864.283942728383	0	1
76	28	6861.090854541537	0	1
77	29	6864.609422128998	0	1
78	30	6865.151875634873	0	1
79	31	6839.3607507002935	-1	1
80	32	6846.389647895353	-1	1
81	33	6856.005626162664	-1	1
82	34	6848.732044895733	-1	1
83	35	6877.066521744362	0	1
84	36	6870.079756999286	0	1
85	37	6871.489706184765	0	1
86	38	6865.136377174231	0	1
87	39	6848.871648989506	-1	1
88	40	6862.454956679744	0	1
89	41	6842.417782232024	-1	1
90	42	6830.404116996998	-1	1
91	43	6832.763980736114	-1	1
92	44	6821.676318723833	-1	1
93	45	6767.979902648922	-1	2
94	46	6757.400180722594	-1	2
95	47	6762.698566075103	-1	2
96	48	6795.624662999335	-1	2
97	1	6815.337641811442	-1	1
98	2	6821.552051022573	-1	1
99	3	6821.194776909293	-1	1
100	4	6832.872651708742	-1	1
101	5	6831.459881249321	-1	1
102	6	6801.783257549335	-1	2
103	7	6809.136765915443	-1	1
104	8	6810.457922337007	-1	1
105	9	6802.156442134596	-1	2
106	10	6863.989456649633	0	1
107	11	6907.2155350181365	0	1
108	12	6923.740523338544	0	2
109	13	6879.792381213007	0	1
110	14	6829.394876476209	-1	1
111	15	6812.5871243462125	-1	1
112	16	6749.590167726051	-1	2
113	17	6703.131449289265	-1	2
114	18	6691.905568878244	-1	2
115	19	6689.058950558463	-1	2
116	20	6671.813644181634	-1	2
117	21	6667.225798431683	-1	3
118	22	6645.61811229098	-1	3
119	23	6638.185206166185	-1	3
120	24	6628.160221436135	-1	3
121	25	6648.189148547888	-1	3
122	26	6685.335801282458	-1	2
123	27	6701.505829612861	-1	2
124	28	6723.95515737961	-1	2
125	29	6737.752121679989	-1	2
126	30	6753.783966111871	-1	2
127	31	6770.3163108134395	-1	2
128	32	6777.822034437643	-1	2
129	33	6778.491488945386	-1	2
130	34	6776.047088044931	-1	2
131	35	6774.972698280208	-1	2
132	36	6789.853072206872	-1	2
133	37	6782.35207143949	-1	2
134	38	6806.385360144911	-1	2
135	39	6815.741639462615	-1	1
136	40	6812.804693741831	-1	1
137	41	6827.593638874057	-1	1
138	42	6843.472888782105	-1	1
139	43	6861.772917632263	0	1
140	44	6858.548407497466	-1	1
141	45	6878.352060022563	0	1
142	46	6870.9784177888805	0	1
143	47	6853.617587944375	-1	1
144	48	6821.023904335202	-1	1
145	1	6818.507241491932	-1	1
146	2	6834.362934639073	-1	1
147	3	6814.871480121651	-1	1
148	4	6822.43744087716	-1	1
149	5	6812.944558480657	-1	1
150	6	6871.071380318996	0	1
151	7	6903.550004964535	0	1
152	8	6912.210062569329	0	2
153	9	6948.154590291738	0	2
154	10	6941.625538255956	0	2
155	11	6974.911788525209	0	2
156	12	6999.016052122195	0	2
157	13	7019.785238222817	0	2
158	14	7080.567672863285	0	2
159	15	7107.20802334028	0	2
160	16	7121.058029149625	0	2
161	17	7154.1675123960695	0	2
162	18	7157.023444717087	0	2
163	19	7171.37335255045	0	2
164	20	7177.217256921858	0	2
165	21	7172.029540840081	0	2
166	22	7162.673029355801	0	2
167	23	7181.457989714139	0	2
168	24	7179.551295318745	0	2
169	25	7181.671528306075	0	2
170	26	7152.89977651279	0	2
171	27	7144.222046449954	0	2
172	28	7132.069997916767	0	2
173	29	7145.306967065028	0	2
174	30	7131.1678551588975	0	2
175	31	7130.479752965285	0	2
176	32	7115.320236611231	0	2
177	33	7123.811587205651	0	2
178	34	7136.931697836524	0	2
179	35	7149.493296205696	0	2
180	36	7129.97512972263	0	2
181	37	7125.341178587334	0	2
182	38	7120.583767147794	0	2
183	39	7154.870078693957	0	2
184	40	7159.405624526435	0	2
185	41	7156.382040570635	0	2
186	42	7148.622489142616	0	2
187	43	7137.466718838036	0	2
188	44	7130.00571331	0	2
189	45	7121.149820501267	0	2
190	46	7112.182882922761	0	2
191	47	7085.503182147837	0	2
192	48	7074.43490563558	0	2
193	1	7069.082525663307	0	2
194	2	7028.809190684202	0	2
195	3	7030.407554417941	0	2
196	4	7013.925922128847	0	2
197	5	7032.58972758632	0	2
198	6	7013.787492103544	0	2
199	7	7001.7249765706965	0	2
200	8	7026.488260013251	0	2
201	9	7023.0447890924115	0	2
202	10	6986.636459225747	0	2
203	11	6935.202407187189	0	2
204	12	6899.357772213861	0	1
205	13	6951.7191825052505	0	2
206	14	6943.493409022095	0	2
207	15	6957.04171750651	0	2
208	16	6989.377884952061	0	2
209	17	6989.285483554274	0	2
210	18	7032.190192713504	0	2
211	19	7038.39744112854	0	2
212	20	7076.857573893223	0	2
213	21	7105.079937111493	0	2
214	22	7144.390136567279	0	2
215	23	7134.776183417748	0	2
216	24	7137.986439906255	0	2
217	25	7129.271694371332	0	2
218	26	7133.140284294165	0	2
219	27	7147.629417631598	0	2
220	28	7160.749294258201	0	2
221	29	7141.761657842552	0	2
222	30	7142.755018612722	0	2
223	31	7148.74470994717	0	2
224	32	7188.427337142397	0	1
225	33	7174.532017031406	0	2
226	34	7185.377589517986	0	2
227	35	7166.062021646371	0	2
228	36	7178.163108837859	0	2
229	37	7192.696213105663	0	1
230	38	7209.427645300649	0	1
231	39	7192.680968719071	0	1
232	40	7194.220593907284	0	1
233	41	7210.082603204325	0	1
234	42	7215.062639503514	0	1
235	43	7198.076765946604	0	1
236	44	7203.151164475558	0	1
237	45	7187.085504731587	0	1
238	46	7195.927764422369	0	1
239	47	7212.443322892164	0	1
240	48	7220.741743474958	0	1
241	1	7203.806324706241	0	1
242	2	7257.457855826373	1	1
243	3	7255.497478208433	1	1
244	4	7255.467083278314	1	1
245	5	7239.2297317990015	1	1
246	6	7203.897740732827	0	1
247	7	7175.661081767082	0	2
248	8	7158.046594849846	0	2
249	9	7139.39267669272	0	2
250	10	7139.560807124914	0	2
251	11	7104.712474878774	0	2
252	12	7085.349923809281	0	2
253	13	7043.543068645703	0	2
254	14	7033.81901517053	0	2
255	15	7006.049250462977	0	2
256	16	6976.113850101958	0	2
257	17	6953.092380546354	0	2
258	18	6938.861997532715	0	2
259	19	6934.4765842712595	0	2
260	20	6901.229692532198	0	1
261	21	6888.493983460811	0	1
262	22	6874.309296811075	0	1
263	23	6888.9583721759645	0	1
264	24	6910.184572596487	0	2
265	25	6908.112479490294	0	1
266	26	6920.464463503413	0	2
267	27	6911.2514599675305	0	2
268	28	6900.827476910764	0	1
269	29	6905.050326422623	0	1
270	30	6912.64296441939	0	2
271	31	6942.459155495113	0	2
272	32	6916.925082713959	0	2
273	33	6926.861540672446	0	2
274	34	6915.549342185182	0	2
275	35	6939.989075232325	0	2
276	36	6935.989971790717	0	2
277	37	6918.23890161668	0	2
278	38	6908.715574102561	0	1
279	39	6914.699116928525	0	2
280	40	6896.294241276055	0	1
281	41	6903.116900974702	0	1
282	42	6894.978941033077	0	1
283	43	6919.150794478195	0	2
284	44	6924.219523750301	0	2
285	45	6945.638924949702	0	2
286	46	6965.138457787124	0	2
287	47	6973.6017659655245	0	2
288	48	6979.396028768491	0	2
289	1	7018.862626372824	0	2
290	2	7027.5488514652125	0	2
291	3	7064.020213687122	0	2
292	4	7077.915482316254	0	2
293	5	7103.456928056516	0	2
294	6	7128.216495188444	0	2
295	7	7149.203031364341	0	2
296	8	7146.468225806863	0	2
297	9	7156.214050401346	0	2
298	10	7157.893889167822	0	2
299	11	7167.222086601985	0	2
300	12	7156.519486032551	0	2
301	13	7128.002390043384	0	2
302	14	7094.1756890548395	0	2
303	15	7110.3308486777805	0	2
304	16	7107.74383677496	0	2
305	17	7109.611417342278	0	2
306	18	7089.226998496409	0	2
307	19	7085.503182147837	0	2
308	20	7090.43747249433	0	2
309	21	7069.542672083155	0	2
310	22	7065.3856305573845	0	2
311	23	7040.02575407846	0	2
312	24	7012.664634980606	0	2
313	25	7014.448871258186	0	2
314	26	6991.056434931754	0	2
315	27	6989.3162840683335	0	2
316	28	6986.282202229062	0	2
317	29	6977.238789907968	0	2
318	30	6963.396012854069	0	2
319	31	6920.866274012843	0	2
320	32	6907.7567995554	0	1
321	33	6889.221520853144	0	1
322	34	6867.615973071607	0	1
323	35	6855.323359633825	-1	1
324	36	6860.765315952865	0	1
325	37	6857.199534653315	-1	1
326	38	6852.051246794436	-1	1
327	39	6842.712597223513	-1	1
328	40	6875.997756371145	0	1
329	41	6872.682659977263	0	1
330	42	6891.7444713730165	0	1
331	43	6893.01356190887	0	1
332	44	6907.2000700960525	0	1
333	45	6910.416509602762	0	2
334	46	6904.80285868086	0	1
335	47	6910.3855848281055	0	2
336	48	6918.115251845196	0	2
337	1	6901.368919079587	0	1
338	2	6927.572197674034	0	2
339	3	6938.383355856142	0	2
340	4	6942.891387495503	0	2
341	5	6940.513993372903	0	2
342	6	6927.572197674034	0	2
343	7	6937.009125967037	0	2
344	8	6945.546317605634	0	2
345	9	6944.203461901872	0	2
346	10	6935.526702335625	0	2
347	11	6940.4059231420115	0	2
348	12	6962.239437476915	0	2
349	13	6999.6317494161885	0	2
350	14	7003.848759648794	0	2
351	15	6973.262687085318	0	2
352	16	6976.267955247893	0	2
353	17	6986.097369962642	0	2
354	18	7004.202701289632	0	2
355	19	7000.278210904257	0	2
356	20	7001.663414234115	0	2
357	21	7022.30682456833	0	2
358	22	7022.30682456833	0	2
359	23	7025.350751009761	0	2
360	24	7032.082624256908	0	2
361	25	7025.919513675675	0	2
362	26	7021.599582756869	0	2
363	27	7023.506002955045	0	2
364	28	7029.88502660839	0	2
365	29	7038.382079049522	0	2
366	30	7045.109532261643	0	2
367	31	7053.784276420333	0	2
368	32	7061.411853859949	0	2
369	33	7071.122427296273	0	2
370	34	7085.288620144668	0	2
371	35	7079.525235374333	0	2
372	36	7088.246307586095	0	2
373	37	7118.3958973794815	0	2
374	38	7128.430598052841	0	2
375	39	7132.63572781261	0	2
376	40	7108.141860339124	0	2
377	41	7106.93245656692	0	2
378	42	7123.9492551993935	0	2
379	43	7118.900811567771	0	2
380	44	7127.161240606001	0	2
381	45	7132.9873897273055	0	2
382	46	7120.966237378356	0	2
383	47	7120.124793253676	0	2
384	48	7128.904674851214	0	2
385	1	7172.182139716332	0	2
386	2	7139.728936152959	0	2
387	3	7139.75950491629	0	2
388	4	7128.476476941343	0	2
389	5	7118.946712227843	0	2
390	6	7122.587830233709	0	2
391	7	7133.308466975322	0	2
392	8	7156.9929021247535	0	2
393	9	7172.411035871769	0	2
394	10	7192.37607858084	0	1
395	11	7215.443326055371	0	1
396	12	7244.719643601267	1	1
397	13	7251.682561583676	1	1
398	14	7268.031539432166	1	1
399	15	7289.147389688642	1	2
400	16	7309.1199202748685	1	2
401	17	7312.196727836445	1	2
402	18	7337.718057206802	1	2
403	19	7379.846459652884	1	2
404	20	7415.0894817129665	1	2
405	21	7414.456085336607	1	2
406	22	7422.040500475536	1	2
407	23	7436.086273624142	1	3
408	24	7455.030147578186	1	3
409	25	7469.129083774579	1	3
410	26	7469.820997589001	1	3
411	27	7471.941722252878	1	3
412	28	7481.384628367495	1	3
413	29	7481.083964056828	1	3
414	30	7492.641424131349	1	3
415	31	7501.924893549921	1	3
416	32	7498.154914565958	1	3
417	33	7493.212370014138	1	3
418	34	7481.474826825063	1	3
419	35	7477.039612511142	1	3
420	36	7472.182358373583	1	3
421	37	7457.513570045378	1	3
422	38	7436.282124498833	1	3
423	39	7419.221168254636	1	2
424	40	7429.516676525795	1	3
425	41	7425.402095404032	1	2
426	42	7383.275270879957	1	2
427	43	7381.795060431599	1	2
428	44	7340.6241266380275	1	2
429	45	7327.876769282576	1	2
430	46	7321.318355662171	1	2
431	47	7283.289956276423	1	1
432	48	7255.43668830303	1	1
433	1	7202.739773994714	0	1
434	2	7164.47445640228	0	2
435	3	7135.464138640238	0	2
436	4	7121.2110145025745	0	2
437	5	7128.659991448229	0	2
438	6	7131.61128631782	0	2
439	7	7118.258191305601	0	2
440	8	7096.9482590895	0	2
441	9	7102.859750120861	0	2
442	10	7103.42630398012	0	2
443	11	7072.763399685825	0	2
444	12	7028.148291089246	0	2
445	13	6982.153868340294	0	2
446	14	6965.801471447706	0	2
447	15	6975.389539743397	0	2
448	16	6976.668622977401	0	2
449	17	6993.8896262692015	0	2
450	18	6988.592459260948	0	2
451	19	6993.951212864427	0	2
452	20	6992.257511406125	0	2
453	21	6989.685886482526	0	2
454	22	6983.47872650277	0	2
455	23	6964.706715928819	0	2
456	24	6931.80470606734	0	2
457	25	6910.864913320125	0	2
458	26	6915.410216952775	0	2
459	27	6915.873963867367	0	2
460	28	6906.442273870051	0	1
461	29	6911.421538063381	0	2
462	30	6885.753863994841	0	1
463	31	6884.7939566846335	0	1
464	32	6885.227469088851	0	1
465	33	6899.512483199756	0	1
466	34	6890.893205671335	0	1
467	35	6892.874275532765	0	1
468	36	6897.563034850389	0	1
469	37	6883.354006716628	0	1
470	38	6878.630840213015	0	1
471	39	6882.93593671648	0	1
472	40	6872.837583653132	0	1
473	41	6863.694966090102	0	1
474	42	6874.309296811075	0	1
475	43	6873.844557360279	0	1
476	44	6890.939639307602	0	1
477	45	6903.1942416796555	0	1
478	46	6922.890654974326	0	2
479	47	6941.826227132184	0	2
480	48	6945.175883850214	0	2
481	1	6957.998077947113	0	2
482	2	6967.728709664476	0	2
483	3	6957.195972343931	0	2
484	4	6963.920304582495	0	2
485	5	6961.900162441222	0	2
486	6	6964.197865124399	0	2
487	7	6960.635540190101	0	2
488	8	6951.024832271913	0	2
489	9	6920.0162804818265	0	2
